,alpha,beta,lambda
322,0.011565419060069766,0.019539956452086588,0.010705358766481836
323,0.004753832843772141,0.004818145222940889,0.0005797435560560994
324,0.01733760975697778,0.02506629722050987,0.011483465294432322
325,0.005618778325412249,0.006085362602153966,0.0011893023900827848
326,0.02616506769034944,0.035658357988805095,0.012557141888710903
327,0.010946240728499368,0.025939824405413203,0.007745229256929118
328,0.013159035551224494,0.03769218471540795,0.009358396600981696
329,0.016850701143241113,0.020781418689430765,0.008691494944919293
330,0.015853083578511666,0.0188460575038469,0.00603662376751637
331,0.014668098626449707,0.01579267588176555,0.0012147257633793717
332,0.012893084978111768,0.02052935203074052,0.008187520049044593
333,0.021245392478523917,0.03023222831731738,0.013773400728732732
334,0.01333985204008495,0.015518505801770405,0.0032155021910571344
335,0.00675410826267398,0.007707598781051689,0.00248160557695833
336,0.00900049225825893,0.014686297056646503,0.008500546653811362
337,0.018000052113971394,0.021535923387398483,0.005833919793260532
338,0.010675717597531276,0.011474506832423329,0.0011340277680387174
339,0.01963239871405427,0.023437059469242932,0.0070824338102603674
340,0.01526252411985451,0.016880889642973518,0.000486959521698078
341,0.015486989213552172,0.018589981202546617,0.012220903116084115
343,0.019736274280173514,0.025671078965619477,0.006604049894835109
344,0.013667094252800348,0.02440729292507581,0.007767180238008176
345,0.014404742192468598,0.014838622462597368,0.001024501010517174
347,0.01203667916300748,0.014791867693739568,0.00513623374575301
348,0.011097677518817153,0.011097677518817153,5.208911047035062e-18
349,0.005038096533062013,0.005660439859280001,6.357602324307656e-16
350,0.05260569955623733,0.05387332469793654,0.002063608556393659
351,0.015600780610626646,0.040338645112963964,0.02179542293186858
352,0.014495968340704959,0.02214277283892957,0.008060357104619453
353,0.01072310924707256,0.016037653940888033,0.0046667039771977545
354,0.011368052907973976,0.011368052907973976,3.446362056185024e-17
356,0.018178944441462026,0.0191970645180956,0.00252979602760964
357,0.011160941903277623,0.01274742863734217,0.002822327556766743
358,0.008005300601997428,0.00894269065017287,0.001865871878033279
359,0.005736698551816544,0.006164501247235329,0.0004911863936956648
360,0.012864663570897307,0.014066527992499526,0.0008790162610341314
361,0.008228069699078354,0.15183375106327934,0.04399943508195521
362,0.019068209622815722,0.033827562072188,0.009923484196397754
363,0.020995462822191023,0.03151209503685344,0.004616512222315279
364,0.00939282310227532,0.009992684871898246,0.0008627894224238352
365,0.018916493642491334,0.028068373023284715,0.008925497587380165
366,0.0036250905377616886,0.00415574313389411,0.0002444136686635789
367,0.022102609707449067,0.02839086649496404,0.007580372107627801
368,0.008815708118962911,0.009684472717975165,3.2053312476815317e-16
370,0.01858206375318121,0.03709564164903238,0.006356495487950896
371,0.05686737014031184,0.23605348215017777,0.006068432721022099
372,0.005031225249270454,0.005215374859585712,0.0005753276084777938
373,0.006748534978900419,0.006748534978901064,8.791099221282124e-05
374,0.011478961991075719,0.056526255814094525,0.04908106898482919
375,0.012555592550201045,0.020743216534466986,0.006616486041849
376,0.030816537489803553,0.032967812074920534,0.0026172329122574867
377,0.00828096346437663,0.012306686985837093,0.0041674572878856704
378,0.01061294302189172,0.013015830217773024,0.002951814610312621
379,0.020840493874686696,0.024250578000745558,0.006035376293103079
380,0.004396978004760877,0.004589388220651834,8.30419604493305e-05
381,0.012499138963539288,0.014771963235167048,0.0033143043819675254
382,0.004173978275906451,0.004615823378761185,1.4010455437590045e-16
383,0.009704255945428977,0.009704255945429039,1.0339900490527974e-16
384,0.013333793404046357,0.020791664788052097,0.005686997513506572
386,0.014351551737506279,0.01468928609406293,0.0008023390822497565
387,0.028695078459545737,0.03592599647388733,0.009692161405881106
388,0.01294494708066026,0.013275351890765022,0.0006437219689132449
389,0.017173426061380226,0.020357479617040992,0.002254860533721702
390,0.013417382941220336,0.022544134267579834,0.007738443697008178
391,0.0038246448477048207,0.004129822604505442,7.3238221240952e-17
392,0.014146490154134685,0.015640039019077703,0.0024145993042686722
393,0.011674819525396816,0.01327997458741442,0.002525190666545112
394,0.023970835936574352,0.04914398502023825,0.010397237433496936
395,0.017227318510595387,0.017814862038856356,0.000824772653715948
396,0.016215131333518946,0.02179345663093625,0.006887551903423348
397,0.027838868075496893,0.046373180915167116,0.020581023046329777
398,0.02106086395634379,0.022636111176123012,0.002536920277855144
399,0.01080845553000467,0.012568713044207992,0.003720451277632295
400,0.008068933402598637,0.008525882675241236,0.0004774346368759612
401,0.018369438201980517,0.02945963107484441,0.01420652656226231
402,0.016091286486040565,0.027702213992027002,0.007776925664137178
